,end_position,entity_type,lefts,rights,start_position,subtree,text_value
0,30,WORK_OF_ART,[],[],24,[      ],      
1,114,ORG,[*],"[,]",32,"[*, \xef\xbf\xbd2""\n\nIN, THE, CIRCUIT, COURT, OF, THE, FOURTH, JUDICIAL, CIRCUIT, DUVAL, COUNTY, ,]","\xef\xbf\xbd2""\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT DUVAL COUNTY"
2,138,ORG,[],"[IN, :]",116,"[FLORIDA, CIVIL, DIVISION, IN, RE, :,  ]",FLORIDA CIVIL DIVISION
3,147,PERSON,[],[],146,[ ], 
4,194,WORK_OF_ART,[],[.],147,"[ENOLE, PROGENY\n\nTOBACCO, LITIGATION,        , Case, .]",ENOLE PROGENY\n\nTOBACCO LITIGATION        Case
5,226,CARDINAL,"[No, :]",[:],201,"[No, ., :, 2008-CA-15000\n\nDIVISION, :,  ]",2008-CA-15000\n\nDIVISION
6,302,PERSON,[including\n\nRobert],[],298,"[including\n\nRobert, Sury]",Sury
7,332,WORK_OF_ART,[],[],307,"[Personal,        , VOLUME, II]",Personal        VOLUME II
8,366,ORG,[],[],351,"[the,       , Pages]",the       Pages
9,370,CARDINAL,[],[],367,[264],264
10,374,CARDINAL,"[264, -]",[],371,"[264, -, 509]",509
11,397,PERSON,[],"[,]",385,"[William, Sury, ,]",William Sury
12,426,CARDINAL,[],[],408,[2007-CA-11175-IXXX],2007-CA-11175-IXXX
13,445,PERSON,[MA],"[,, as]",430,"[2007-CA-11175-IXXX, -, MA, Patricia, Bowman, ,, as, Personal, Representative, of, the, Estate, of, Michael, Bowman, Case]",Patricia Bowman
14,487,ORG,[],[of],450,"[Personal, Representative, of, the, Estate, of, Michael, Bowman, Case]",Personal Representative of the Estate
15,505,PERSON,[],[],491,"[Michael, Bowman]",Michael Bowman
16,533,CARDINAL,[],[],515,[2007-CA-11175-AXXX],2007-CA-11175-AXXX
17,594,GPE,[-],"[,, Carolina]",589,"[-, Salem, ,, North, Carolina]",Salem
18,610,GPE,[],[],596,"[North, Carolina]",North Carolina
19,632,DATE,[],[],611,"[Friday, ,, July, 22, ,, 2011]","Friday, July 22, 2011"
20,681,PERSON,[],"[,, II, ,, called, ,, pursuant, ,, witness, ,, and, proceedings]",662,"[CHRISTOPHER, J., COOK, ,, Volume, II, ,, called, for, examination, by, counsel, for, Plaintiffs, ,, pursuant, to, the, Amended, Notice, of, Deposition, ,, the, witness, being, duly, sworn, ,, and, his, testimony, being, taken, by, DEBRA, D., BOWDEN, ,, Registered, Merit, Reporter, ,, Certified, Realtime, Reporter, and, Notary, Public, in, and, for, the, State, of, North, Carolina, ,, taken, at, the, Law, Offices, of, Womble, Carlyle, Sandridge, &, Rice, at, One, West, 4th, Street, in, Winston, -, Salem, ,, North, Carolina, ,, commencing, at, 9:01, a.m., ,, Friday, ,, July, 22nd, ,, 2011, ,, and, the, proceedings, being, taken, down, by, Stenotype, by, DEBRA, D., BOWDEN, ,, RMR, ,, CRR, ,, and, transcribed, personally, by, her.\n\nVERITEXT, REPORTING, COMPANY, 212, -, 279, -, 9424,                                   , www.veritext.com,                                   ]",CHRISTOPHER J. COOK
21,788,LAW,[],[],756,"[the, Amended, Notice, of, Deposition]",the Amended Notice of Deposition
22,868,PERSON,[],"[,, Reporter]",853,"[DEBRA, D., BOWDEN, ,, Registered, Merit, Reporter, ,, Certified, Realtime, Reporter, and, Notary, Public]",DEBRA D. BOWDEN
23,915,PERSON,[],[],897,"[Certified, Realtime]",Certified Realtime
24,942,ORG,[],[],929,"[Notary, Public]",Notary Public
25,981,GPE,[],[],967,"[North, Carolina]",North Carolina
26,1007,ORG,[],[of],992,"[the, Law, Offices, of, Womble, Carlyle, Sandridge, &, Rice]",the Law Offices
27,1042,ORG,[],[],1011,"[Womble, Carlyle, Sandridge, &, Rice]",Womble Carlyle Sandridge & Rice
28,1058,ORDINAL,[],[],1055,[4th],4th
29,1076,GPE,[],[],1069,[Winston],Winston
30,1082,GPE,"[Winston, -]","[,, Carolina]",1077,"[Winston, -, Salem, ,, North, Carolina]",Salem
31,1098,GPE,[],[],1084,"[North, Carolina]",North Carolina
32,1123,TIME,[],"[,, Friday]",1114,"[9:01, a.m., ,, Friday, ,, July, 22nd, ,, 2011]",9:01 a.m.
33,1142,DATE,[],"[,, 2011]",1125,"[Friday, ,, July, 22nd, ,, 2011]","Friday, July 22nd"
34,1148,DATE,[],[],1144,[2011],2011
35,1218,PERSON,[],"[,, RMR]",1203,"[DEBRA, D., BOWDEN, ,, RMR, ,, CRR, ,, and, transcribed, personally, by, her.\n\nVERITEXT, REPORTING, COMPANY, 212, -, 279, -, 9424,                                   , www.veritext.com,                                   ]",DEBRA D. BOWDEN
36,1223,ORG,[],"[,, CRR]",1220,"[RMR, ,, CRR, ,, and, transcribed, personally, by, her.\n\nVERITEXT, REPORTING, COMPANY, 212, -, 279, -, 9424,                                   , www.veritext.com,                                   ]",RMR
37,1228,ORG,[],"[,, and, transcribed]",1225,"[CRR, ,, and, transcribed, personally, by, her.\n\nVERITEXT, REPORTING, COMPANY, 212, -, 279, -, 9424,                                   , www.veritext.com,                                   ]",CRR
38,1298,CARDINAL,[],[],1295,[212],212
39,1396,CARDINAL,[],[],1393,[212],212
40,1539,CARDINAL,"[212, 3430\x0c\npgNbr=1\n1\n\n2\n\n3, 7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20, 21\n\n22\n\n23]",[],1537,"[212, -, 490, -, 3430\x0c\npgNbr=1\n1\n\n2\n\n3, 4\n\n5\n\n6, 7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20, 21\n\n22\n\n23, 24]",24
41,1576,CARDINAL,[],[],1551,[265\n\nAPPEARANCES:\n\nOn],265\n\nAPPEARANCES:\n\nOn
42,1646,ORG,[],[],1625,[ESQUIRE\n\nDoffermyre],ESQUIRE\n\nDoffermyre
43,1673,ORG,"[ESQUIRE\n\nDoffermyre, Shields]","[,, 1600\n\nAtlanta]",1655,"[ESQUIRE\n\nDoffermyre, Shields, Canfield, &, Knowles, ,, LLC\n\n1355, Peachtree, Street\n\nSuite, 1600\n\nAtlanta, ,]",Canfield & Knowles
44,1696,GPE,[],[],1687,[Peachtree],Peachtree
45,1728,CARDINAL,"[LLC\n\n1355, Peachtree, Street\n\nSuite]","[,]",1713,"[LLC\n\n1355, Peachtree, Street\n\nSuite, 1600\n\nAtlanta, ,]",1600\n\nAtlanta
46,1769,MONEY,[],[],1753,"[881, -, 8900\n\n(404]",881-8900\n\n(404
47,1774,CARDINAL,[)],[3007],1771,"[), 881, -, 3007]",881
48,1828,PERSON,"[881, (]","[,, JR]",1781,"[), 881, -, 3007, (, Fax)\n\nrshields6dsckd.com\n\nBRUCE, R., ANDERSON, ,, JR]",Fax)\n\nrshields6dsckd.com\n\nBRUCE R. ANDERSON
49,1832,PERSON,[],[],1830,[JR],JR
50,1850,PERSON,[],[],1835,"[ESQUIRE, Terrell]",ESQUIRE Terrell
