,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
0,ORG,3,"ORG:PALM, ORG:BEACH, ORG:COUNTY","FOR PALM BEACH COUNTY, FLORIDA\n\nCASE",12,FOR,PALM BEACH COUNTY
1,CARDINAL,2,"CARDINAL:50, DATE:2007",50 2007,22,50,50
2,DATE,2,"CARDINAL:50, DATE:2007",50 2007,22,50,2007
3,PERSON,2,"PERSON:REYNOLDS, CARDINAL:40","REYNOLDS TOBACCO COMPANY, et al., Defendants.\n\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\n\nDATE",31,COMPANY,REYNOLDS
4,CARDINAL,2,"PERSON:REYNOLDS, CARDINAL:40","REYNOLDS TOBACCO COMPANY, et al., Defendants.\n\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\n\nDATE",31,COMPANY,40
5,PHONE_NUMBER,2,"PERSON:REYNOLDS, CARDINAL:40","REYNOLDS TOBACCO COMPANY, et al., Defendants.\n\nTRIAL - VOLUME 40 (Pages 5403 - 5538)\n\nDATE",31,COMPANY,403 5538
6,CARDINAL,3,"CARDINAL:9, CARDINAL:2, PRODUCT:015\n\n(9:45","TAKEN\n\nTIME:\n\nPLACE:\n\nBEFORE:\n\nNovember 9, 2 015\n\n(9:45)",48,TAKEN\n\nTIME:\n\nPLACE:\n\nBEFORE:\n\nNovember,9
7,CARDINAL,3,"CARDINAL:9, CARDINAL:2, PRODUCT:015\n\n(9:45","TAKEN\n\nTIME:\n\nPLACE:\n\nBEFORE:\n\nNovember 9, 2 015\n\n(9:45)",48,TAKEN\n\nTIME:\n\nPLACE:\n\nBEFORE:\n\nNovember,2
8,PRODUCT,3,"CARDINAL:9, CARDINAL:2, PRODUCT:015\n\n(9:45","TAKEN\n\nTIME:\n\nPLACE:\n\nBEFORE:\n\nNovember 9, 2 015\n\n(9:45)",48,TAKEN\n\nTIME:\n\nPLACE:\n\nBEFORE:\n\nNovember,015\n\n(9:45
9,TIME,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,9:57 a.m. - 12:00
10,GPE,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,p.m.\n\nPalm Beach County
11,CARDINAL,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,205
12,FAC,25,"TIME:9:57, TIME:a.m., TIME:-, TIME:12:00, GPE:p.m.\n\nPalm, GPE:Beach, GPE:County, CARDINAL:205, FAC:North, FAC:Dixie, FAC:Highway, FAC:West, FAC:Palm, FAC:Beach, PERSON:Florida\n\nEdward, PERSON:L., PERSON:Artau, ORG:Circuit, PERSON:by:\n\nJanette, PERSON:P., PERSON:Moreno, ORG:RMR, ORG:CRR, ORG:CLR, ORG:CCP","9:57 a.m. - 12:00 p.m.\n\nPalm Beach County Courthouse 205 North Dixie Highway West Palm Beach, Florida\n\nEdward L. Artau, Circuit Judge\n\nThis cause came on to be heard at the time and place aforesaid, when and where the following proceedings were stenographically reported by:\n\nJanette P. Moreno, RMR, CRR, CLR, CCP, FPR\n\nUnited Reporting,",54,came,North Dixie Highway West Palm Beach
