,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
0,CARDINAL,14,"CARDINAL:111\n\n\n\nIN, WORK_OF_ART:THE, WORK_OF_ART:CIRCUIT, WORK_OF_ART:COURT, WORK_OF_ART:OF, WORK_OF_ART:THE, WORK_OF_ART:FOURTH, WORK_OF_ART:JUDICIAL, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:FLORIDA, PERSON:2\n\n\n\nIN, PERSON:RE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,111\n\n\n\nIN
1,WORK_OF_ART,14,"CARDINAL:111\n\n\n\nIN, WORK_OF_ART:THE, WORK_OF_ART:CIRCUIT, WORK_OF_ART:COURT, WORK_OF_ART:OF, WORK_OF_ART:THE, WORK_OF_ART:FOURTH, WORK_OF_ART:JUDICIAL, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:FLORIDA, PERSON:2\n\n\n\nIN, PERSON:RE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,THE CIRCUIT COURT OF THE FOURTH JUDICIAL
2,PERSON,14,"CARDINAL:111\n\n\n\nIN, WORK_OF_ART:THE, WORK_OF_ART:CIRCUIT, WORK_OF_ART:COURT, WORK_OF_ART:OF, WORK_OF_ART:THE, WORK_OF_ART:FOURTH, WORK_OF_ART:JUDICIAL, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:FLORIDA, PERSON:2\n\n\n\nIN, PERSON:RE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,CIRCUIT\n\n\n\nIN
3,ORG,14,"CARDINAL:111\n\n\n\nIN, WORK_OF_ART:THE, WORK_OF_ART:CIRCUIT, WORK_OF_ART:COURT, WORK_OF_ART:OF, WORK_OF_ART:THE, WORK_OF_ART:FOURTH, WORK_OF_ART:JUDICIAL, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:FLORIDA, PERSON:2\n\n\n\nIN, PERSON:RE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,DUVAL COUNTY
4,PERSON,14,"CARDINAL:111\n\n\n\nIN, WORK_OF_ART:THE, WORK_OF_ART:CIRCUIT, WORK_OF_ART:COURT, WORK_OF_ART:OF, WORK_OF_ART:THE, WORK_OF_ART:FOURTH, WORK_OF_ART:JUDICIAL, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:FLORIDA, PERSON:2\n\n\n\nIN, PERSON:RE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,FLORIDA 2\n\n\n\nIN RE
5,ORG,2,"ORG:LITIGATION\n\n\n\nTOBACCO, ORG:LITIGATION",TOBACCO LITIGATION\n\n\n\nTOBACCO LITIGATION                                DIVISION:  ,24,DIVISION,LITIGATION\n\n\n\nTOBACCO LITIGATION
6,CARDINAL,3,"CARDINAL:1118, PERSON:LINDA, PERSON:PRENTICE","1118 - 1211\n\n\n\nPertains to:  LINDA PRENTICE,",35,1118,1118
7,PERSON,3,"CARDINAL:1118, PERSON:LINDA, PERSON:PRENTICE","1118 - 1211\n\n\n\nPertains to:  LINDA PRENTICE,",35,1118,LINDA PRENTICE
8,PHONE_NUMBER,3,"CARDINAL:1118, PERSON:LINDA, PERSON:PRENTICE","1118 - 1211\n\n\n\nPertains to:  LINDA PRENTICE,",35,1118,118 1211
9,ORG,9,"ORG:Personal, ORG:Representative, ORG:of, ORG:the, ORG:Estate, ORG:of, ORG:JOHN, ORG:C., ORG:PRICE\n\n\n\nCase",as Personal Representative of the Estate of JOHN C. PRICE\n\n\n\nCase,44,as,Personal Representative of the Estate of JOHN C. PRICE\n\n\n\nCase
10,ORG,0,,No:   ,54,No,  
11,CARDINAL,3,"CARDINAL:16, CARDINAL:-, CARDINAL:2007-CA-011551-DXXX",16-2007-CA-011551-DXXX-MA\n\n\n\n16,57,MA\n\n\n\n16,16-2007-CA-011551-DXXX
12,CARDINAL,9,"CARDINAL:17, DATE:18, DATE:19, DATE:20, DATE:21, DATE:22, DATE:23, DATE:24, CARDINAL:25\n\n\n\nTRIAL",17 18 19 20 21 22 23 24 25\n\n\n\nTRIAL BEFORE,62,BEFORE,17
13,DATE,9,"CARDINAL:17, DATE:18, DATE:19, DATE:20, DATE:21, DATE:22, DATE:23, DATE:24, CARDINAL:25\n\n\n\nTRIAL",17 18 19 20 21 22 23 24 25\n\n\n\nTRIAL BEFORE,62,BEFORE,18 19 20 21 22 23 24
14,CARDINAL,9,"CARDINAL:17, DATE:18, DATE:19, DATE:20, DATE:21, DATE:22, DATE:23, DATE:24, CARDINAL:25\n\n\n\nTRIAL",17 18 19 20 21 22 23 24 25\n\n\n\nTRIAL BEFORE,62,BEFORE,25\n\n\n\nTRIAL
15,DATE,7,"DATE:Friday, DATE:September, DATE:16, TIME:8:15, TIME:a.m., CARDINAL:10:40, ORG:a.m.\n\n\n\nLOCATION","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,Friday
16,DATE,7,"DATE:Friday, DATE:September, DATE:16, TIME:8:15, TIME:a.m., CARDINAL:10:40, ORG:a.m.\n\n\n\nLOCATION","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,September 16
17,TIME,7,"DATE:Friday, DATE:September, DATE:16, TIME:8:15, TIME:a.m., CARDINAL:10:40, ORG:a.m.\n\n\n\nLOCATION","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,8:15 a.m.
18,CARDINAL,7,"DATE:Friday, DATE:September, DATE:16, TIME:8:15, TIME:a.m., CARDINAL:10:40, ORG:a.m.\n\n\n\nLOCATION","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,10:40
19,ORG,7,"DATE:Friday, DATE:September, DATE:16, TIME:8:15, TIME:a.m., CARDINAL:10:40, ORG:a.m.\n\n\n\nLOCATION","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,a.m.\n\n\n\nLOCATION
20,PERSON,7,"DATE:Friday, DATE:September, DATE:16, TIME:8:15, TIME:a.m., CARDINAL:10:40, ORG:a.m.\n\n\n\nLOCATION","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,     
21,GPE,3,"GPE:Duval, GPE:County, CARDINAL:610\n\n\n\n501",Duval County Courthouse\n\n\n\nCourtroom 610\n\n\n\n501,95,County,Duval County
22,CARDINAL,3,"GPE:Duval, GPE:County, CARDINAL:610\n\n\n\n501",Duval County Courthouse\n\n\n\nCourtroom 610\n\n\n\n501,95,County,610\n\n\n\n501
23,GPE,11,"GPE:West, GPE:Adams, GPE:Street\n\n\n\nJacksonville, PERSON:Florida, PERSON:32202\n\n\n\nAs, PERSON:Terry, PERSON:T., PERSON:Hurley, ORG:RPR, ORG:Notary, ORG:Public\n\n\n\nAPPEARANCES","West Adams Street\n\n\n\nJacksonville, Florida 32202\n\n\n\nAs reported by: Terry T. Hurley, RPR and a Notary Public\n\n\n\nAPPEARANCES",99,reported,West Adams Street\n\n\n\nJacksonville
24,PERSON,11,"GPE:West, GPE:Adams, GPE:Street\n\n\n\nJacksonville, PERSON:Florida, PERSON:32202\n\n\n\nAs, PERSON:Terry, PERSON:T., PERSON:Hurley, ORG:RPR, ORG:Notary, ORG:Public\n\n\n\nAPPEARANCES","West Adams Street\n\n\n\nJacksonville, Florida 32202\n\n\n\nAs reported by: Terry T. Hurley, RPR and a Notary Public\n\n\n\nAPPEARANCES",99,reported,Florida 32202\n\n\n\nAs
25,PERSON,11,"GPE:West, GPE:Adams, GPE:Street\n\n\n\nJacksonville, PERSON:Florida, PERSON:32202\n\n\n\nAs, PERSON:Terry, PERSON:T., PERSON:Hurley, ORG:RPR, ORG:Notary, ORG:Public\n\n\n\nAPPEARANCES","West Adams Street\n\n\n\nJacksonville, Florida 32202\n\n\n\nAs reported by: Terry T. Hurley, RPR and a Notary Public\n\n\n\nAPPEARANCES",99,reported,Terry T. Hurley
26,ORG,11,"GPE:West, GPE:Adams, GPE:Street\n\n\n\nJacksonville, PERSON:Florida, PERSON:32202\n\n\n\nAs, PERSON:Terry, PERSON:T., PERSON:Hurley, ORG:RPR, ORG:Notary, ORG:Public\n\n\n\nAPPEARANCES","West Adams Street\n\n\n\nJacksonville, Florida 32202\n\n\n\nAs reported by: Terry T. Hurley, RPR and a Notary Public\n\n\n\nAPPEARANCES",99,reported,RPR
