,entity_type,n_possible_dependents,possible_dependents,raw_sentence,sentence_position,sentence_root,text_value
0,PERSON,6,"PERSON:b""Page, PERSON:111\n\n\n\nIN, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:ENGLE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,"b""Page 111\n\n\n\nIN"
1,PERSON,6,"PERSON:b""Page, PERSON:111\n\n\n\nIN, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:ENGLE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,CIRCUIT\n\n\n\nIN
2,ORG,6,"PERSON:b""Page, PERSON:111\n\n\n\nIN, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:ENGLE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,DUVAL COUNTY
3,PERSON,6,"PERSON:b""Page, PERSON:111\n\n\n\nIN, PERSON:CIRCUIT\n\n\n\nIN, ORG:DUVAL, ORG:COUNTY, PERSON:ENGLE","b""Page 111\n\n\n\nIN THE CIRCUIT COURT OF THE FOURTH JUDICIAL CIRCUIT\n\n\n\nIN AND FOR DUVAL COUNTY, FLORIDA 2\n\n\n\nIN RE:  ENGLE PROGENY CASES      ",0,111\n\n\n\nIN,ENGLE
4,PERSON,2,"PERSON:LINDA, PERSON:PRENTICE","1118 - 1211\n\n\n\nPertains to:  LINDA PRENTICE,",35,1118,LINDA PRENTICE
5,PHONE_NUMBER,2,"PERSON:LINDA, PERSON:PRENTICE","1118 - 1211\n\n\n\nPertains to:  LINDA PRENTICE,",35,1118,118 1211
6,PERSON,2,"PERSON:JOHN, PERSON:C.",as Personal Representative of the Estate of JOHN C. PRICE\n\n\n\nCase,44,as,JOHN C.
7,ORG,4,"ORG:TYRIE, ORG:W., ORG:BOYER\n\n\n\nDATE, ORG:Friday","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,TYRIE W. BOYER\n\n\n\nDATE
8,ORG,4,"ORG:TYRIE, ORG:W., ORG:BOYER\n\n\n\nDATE, ORG:Friday","THE HONORABLE TYRIE W. BOYER\n\n\n\nDATE TAKEN:    Friday, September 16, 2016\n\n\n\nTIME:                      8:15 a.m. to 10:40 a.m.\n\n\n\nLOCATION:      ",72,TAKEN,   Friday
9,ORG,2,"ORG:Duval, ORG:County",Duval County Courthouse\n\n\n\nCourtroom 610\n\n\n\n501,95,County,Duval County
